"","word","sentiment","n"
"1","gun","anger",227
"2","shooting","anger",130
"3","death","anger",95
"4","shit","anger",75
"5","bad","anger",59
"6","shot","anger",55
"7","rifle","anger",49
"8","shoot","anger",49
"9","penalty","anger",43
"10","hell","anger",32
"11","killing","anger",31
"12","hot","anger",27
"13","assault","anger",26
"14","crime","anger",26
"15","murder","anger",26
"16","prison","anger",24
"17","blame","anger",23
"18","deserve","anger",23
"19","violence","anger",22
"20","hate","anger",21
"21","terrorist","anger",21
"22","damn","anger",20
"23","suicide","anger",20
"24","crazy","anger",19
"25","horrible","anger",17
"26","ill","anger",17
"27","socialist","anger",17
"28","sentence","anger",16
"29","armed","anger",14
"30","money","anger",14
"31","fight","anger",13
"32","hurt","anger",13
"33","rape","anger",13
"34","bitch","anger",12
"35","bully","anger",12
"36","force","anger",12
"37","argument","anger",11
"38","evil","anger",11
"39","torture","anger",11
"40","words","anger",11
"41","gang","anger",10
"42","hunting","anger",10
"43","criminal","anger",9
"44","horrific","anger",9
"45","honest","anger",8
"46","terrible","anger",8
"47","court","anger",7
"48","disgusting","anger",7
"49","grab","anger",7
"50","guilty","anger",7
"51","lying","anger",7
"52","abuse","anger",6
"53","attack","anger",6
"54","firearms","anger",6
"55","illegal","anger",6
"56","punishment","anger",6
"57","slap","anger",6
"58","slavery","anger",6
"59","assassinate","anger",5
"60","bang","anger",5
"61","confinement","anger",5
"62","enemy","anger",5
"63","feeling","anger",5
"64","insane","anger",5
"65","punch","anger",5
"66","riot","anger",5
"67","row","anger",5
"68","worthless","anger",5
"69","youth","anger",5
"70","bomb","anger",4
"71","bout","anger",4
"72","cruel","anger",4
"73","delusional","anger",4
"74","hoax","anger",4
"75","intruder","anger",4
"76","kidnap","anger",4
"77","mad","anger",4
"78","massacre","anger",4
"79","painful","anger",4
"80","rocket","anger",4
"81","stab","anger",4
"82","stone","anger",4
"83","violent","anger",4
"84","anger","anger",3
"85","annoying","anger",3
"86","beast","anger",3
"87","beating","anger",3
"88","challenge","anger",3
"89","cross","anger",3
"90","damage","anger",3
"91","deadly","anger",3
"92","destruction","anger",3
"93","devil","anger",3
"94","disgrace","anger",3
"95","displeased","anger",3
"96","distress","anger",3
"97","fear","anger",3
"98","hit","anger",3
"99","immoral","anger",3
"100","insult","anger",3
"101","lie","anger",3
"102","lose","anger",3
"103","losing","anger",3
"104","mocking","anger",3
"105","pretending","anger",3
"106","punished","anger",3
"107","remove","anger",3
"108","scar","anger",3
"109","scare","anger",3
"110","threat","anger",3
"111","troll","anger",3
"112","victim","anger",3
"113","wound","anger",3
"114","angry","anger",2
"115","argue","anger",2
"116","battle","anger",2
"117","bear","anger",2
"118","bloody","anger",2
"119","cancer","anger",2
"120","chaos","anger",2
"121","convict","anger",2
"122","deny","anger",2
"123","deranged","anger",2
"124","disease","anger",2
"125","enforce","anger",2
"126","epidemic","anger",2
"127","failing","anger",2
"128","fighting","anger",2
"129","hanging","anger",2
"130","hood","anger",2
"131","horror","anger",2
"132","hurting","anger",2
"133","idiotic","anger",2
"134","insanity","anger",2
"135","jerk","anger",2
"136","kick","anger",2
"137","loss","anger",2
"138","offended","anger",2
"139","phony","anger",2
"140","prosecute","anger",2
"141","revenge","anger",2
"142","savage","anger",2
"143","scapegoat","anger",2
"144","shock","anger",2
"145","slander","anger",2
"146","slaughter","anger",2
"147","smash","anger",2
"148","sucker","anger",2
"149","terrorize","anger",2
"150","treason","anger",2
"151","wreck","anger",2
"152","abandoned","anger",1
"153","alienate","anger",1
"154","altercation","anger",1
"155","arguments","anger",1
"156","asshole","anger",1
"157","attacking","anger",1
"158","attorney","anger",1
"159","awful","anger",1
"160","barbaric","anger",1
"161","bee","anger",1
"162","belligerent","anger",1
"163","bickering","anger",1
"164","bitterness","anger",1
"165","blackmail","anger",1
"166","broken","anger",1
"167","brutal","anger",1
"168","butcher","anger",1
"169","cannon","anger",1
"170","complain","anger",1
"171","complaint","anger",1
"172","copycat","anger",1
"173","cursing","anger",1
"174","cutting","anger",1
"175","dame","anger",1
"176","defense","anger",1
"177","deflate","anger",1
"178","demon","anger",1
"179","depressed","anger",1
"180","despicable","anger",1
"181","detest","anger",1
"182","devastating","anger",1
"183","discrimination","anger",1
"184","dislike","anger",1
"185","disliked","anger",1
"186","disrespect","anger",1
"187","disrespectful","anger",1
"188","domination","anger",1
"189","expel","anger",1
"190","fraud","anger",1
"191","frustrated","anger",1
"192","gibberish","anger",1
"193","holocaust","anger",1
"194","homicide","anger",1
"195","hopelessness","anger",1
"196","idiocy","anger",1
"197","immorality","anger",1
"198","indifference","anger",1
"199","infraction","anger",1
"200","injure","anger",1
"201","insecure","anger",1
