"","word","sentiment","n"
"1","god","joy",67
"2","white","joy",53
"3","good","joy",46
"4","hope","joy",38
"5","friend","joy",34
"6","love","joy",21
"7","peace","joy",18
"8","kind","joy",16
"9","young","joy",16
"10","bless","joy",15
"11","true","joy",15
"12","money","joy",14
"13","safe","joy",14
"14","save","joy",13
"15","alive","joy",12
"16","mother","joy",11
"17","pray","joy",11
"18","found","joy",10
"19","brilliant","joy",9
"20","deal","joy",9
"21","fun","joy",9
"22","happy","joy",9
"23","laugh","joy",9
"24","lucky","joy",9
"25","pretty","joy",9
"26","respect","joy",9
"27","honest","joy",8
"28","child","joy",7
"29","laughing","joy",7
"30","share","joy",7
"31","smiling","joy",7
"32","feeling","joy",5
"33","humanity","joy",5
"34","sex","joy",5
"35","youth","joy",5
"36","amen","joy",4
"37","birthday","joy",4
"38","enjoy","joy",4
"39","finally","joy",4
"40","food","joy",4
"41","hero","joy",4
"42","highest","joy",4
"43","improve","joy",4
"44","beautiful","joy",3
"45","daughter","joy",3
"46","electric","joy",3
"47","glad","joy",3
"48","grow","joy",3
"49","intelligence","joy",3
"50","luck","joy",3
"51","pay","joy",3
"52","perfect","joy",3
"53","silly","joy",3
"54","sweet","joy",3
"55","teach","joy",3
"56","award","joy",2
"57","baby","joy",2
"58","befriend","joy",2
"59","clean","joy",2
"60","clown","joy",2
"61","favorite","joy",2
"62","freedom","joy",2
"63","friendly","joy",2
"64","gorgeous","joy",2
"65","happiness","joy",2
"66","hilarious","joy",2
"67","loving","joy",2
"68","loyal","joy",2
"69","majority","joy",2
"70","peaceful","joy",2
"71","possess","joy",2
"72","pride","joy",2
"73","saint","joy",2
"74","smile","joy",2
"75","angel","joy",1
"76","beauty","joy",1
"77","birth","joy",1
"78","blessed","joy",1
"79","blessing","joy",1
"80","blessings","joy",1
"81","buddy","joy",1
"82","content","joy",1
"83","dance","joy",1
"84","destination","joy",1
"85","diamond","joy",1
"86","eager","joy",1
"87","encourage","joy",1
"88","entertaining","joy",1
"89","esteem","joy",1
"90","faith","joy",1
"91","football","joy",1
"92","giggle","joy",1
"93","glory","joy",1
"94","heal","joy",1
"95","heavens","joy",1
"96","hire","joy",1
"97","hobby","joy",1
"98","independence","joy",1
"99","intense","joy",1
"100","joy","joy",1
"101","labor","joy",1
"102","liquor","joy",1
"103","lover","joy",1
"104","medal","joy",1
"105","music","joy",1
"106","musical","joy",1
"107","organization","joy",1
"108","outburst","joy",1
"109","powerful","joy",1
"110","praised","joy",1
"111","precious","joy",1
"112","promise","joy",1
"113","recreation","joy",1
"114","resources","joy",1
"115","star","joy",1
"116","sun","joy",1
"117","surprise","joy",1
"118","toast","joy",1
"119","treat","joy",1
"120","vote","joy",1
"121","winning","joy",1
"122","worship","joy",1
