"","word","freq","word","freq","word","freq","word","freq","word","freq","word","freq","word","freq"
"gun","gun",73,"gun",781,"gun",450,"school",413,"school",2116,"school",2541,"school",252
"god","god",59,"shootings",385,"shooting",209,"gun",346,"shooter",871,"shooter",1049,"gun",194
"school","school",54,"shooting",372,"shootings",171,"shooting",198,"kids",662,"drill",937,"shooting",128
"shooting","shooting",40,"video",356,"video",153,"kids",134,"drill",651,"kids",838,"kids",123
"per","per",33,"mass",285,"school",150,"shootings",131,"gun",607,"gun",627,"kill",116
"make","make",29,"kill",276,"mass",135,"shooter",127,"shooting",526,"door",611,"fucking",95
"video","video",25,"america",252,"make",128,"drills",111,"drills",518,"teacher",607,"fuck",92
"huckabee","huckabee",24,"top",247,"need",127,"drill",107,"door",496,"lockdown",605,"death",90
"never","never",23,"make",243,"kill",118,"going",102,"teacher",450,"shooting",570,"police",82
"what","what",23,"need",228,"sandy",117,"door",97,"teachers",391,"drills",523,"make",77
