"","his_data_2015.his_all_comments.textOriginal"
"1","in 14 years old but this teaching prepares them and I wouldn't lik it but I think it is a  class needed teach in school its frightening of course no doubt but if they had these I would feel more protected💖💖"
"2","We just usually hide under our desks - Instead in a corner is easier for someone to get Killed...."
"3","she is badass."
"4","So dumb these days I would push all the desk to the doors NO one would get in cause they can bust threw a door"
"5","When I have drills they act like its nothing and as soon as the alarm goes off the teachers tell everybody to hide, close the blinds, and the teacher sometimes just sit on the computer."
"6","What kind of fucking school does this shit as a drill. I would kick their ass if they did this to us as a dumbass fucking drill."
"7","So the news can argue that people can disarm a shooter after one training session AND
that concealed carry students have absolutely no chance whatsoever.
right."
"8","how about more than just two guards with only tasers to prevent theese school shootings ?"
"9","shi ima be real i would get the call of duty mentality and let generations of blood thirst flow"
"10","3:35 when you tryna fake cry so u dont lok lik u wana shot up de skewl."
"11","You ALMOST got a ticket when going 130?!?!?!?!?!?!? Holy shit!"
"12","Dang y'all they all jumped that shooter down the floora, dogg!!!"
"13","Lucky for me, my school has cameras at the door for the secretary can see who it is then let them in, other wise the other doors are locked with gun proof windows, and inside the buildings the doors to the classrooms automatically lock as soon as you close them, are school does this too, sooo yeah I don't think a Robery would happen at mine, extra good thing about it is that they rebuilt a new middle school in 2013, that's what I am in."
"14","What's it going to take for parents to pull their kids out of school?  This isn't ""live shooter training"", it's obedience training with trauma thrown in.  

Where is the evidence that these drills have ANY beneficial outcomes?"
"15","thats my school"
"16","Liberals are stupid and place too much faith in the power of the ATF to prevent illegal gun use if guns are controlled strictly.

Only conservatives are smart enough to know that no amount of enforcement can prevent criminal gun use. Look at the War on Drugs. War on Terror. Both epic fails. War on Guns? Sure to fail. 

So please stop being a dumbfuck libtard."
"17","What if the shooters learn how things work?.... what if he know what students will do?"
"18","These kids are all gonna get slaughtered when some1 finds them... especialy in a group, what safety practice"
"19","Fake blood! Oh lord!!!"
"20","My school did one of these. Though if I am honest it was a bit more realistic. But, it was traumatic and terrifying. The trauma impacted me for a couple years and I can still remember it in full detail. It didn't help me ""prepare"" because there is no preparation that can prepare you for someone coming in and killing a bunch of people. You act on instinct and if a real situation happened to me at my uni, I would still act on instinct. You should prepare for school shootings with lockdowns and verbal instruction. Just like you do with fire drills. I've never seen a school prepare for a fire or earthquake drill by actually recreating it."
"21","Its not that easy, I mean, the shooter can fire the gun and the training only goes as far as fighting back without the gun, what if the shooter try to kill the teacher?"
"22","Why are the teachers unarmed?"
"23","This type of drill is what desensitizes our society toward guns. Whoever thought this up needs a serious evaluation because they have no idea the way the mind works. Having drills of going through the motions prepares people, scaring them doesn't. If you are, or know of someone conducting drills like this, this is psychological abuse and you should NOT allow this for your child. Knowing what to do through repetitive actions will suffice. Anyone who has taken martial arts can attest to this. You are instructed on ""what to do if"" and even have sparring and competition, but they don't try to kill each other. It's called self-defense, not self-offense."
"24","someone juggled the doorknob during a lockdown"
"25","Duck and cover is back to stay."
"26","Hey! I have an idea... FIX YOUR GUN LAWS"
"27","ABC would advocate and support doing nothing and dying a frightened miserable lives...."
"28","glad there's practice and thought...too bad they are still teaching the kids to huddle up into one big mass target"
"29","3:25*"
"30","3:26 so you get a adams apple?"
"31","Please take a moment to look at this, at the very least pass it on 
https://www.generosity.com/emergencies-fundraising/rescue-task-force-needs-help/x/12197679"
"32","Just a prank bro!"
"33","This is just sad. Clean up your act America."
"34","Nothing like traumatizing our children from a very young age.... don't be fooled by ""preparedness"" meme that's being used to build the new ""security"" industry... thousands of school districts, BILLIONS of DOLLARS. FEAR... the ultimate weapon!"
"35","I like that they use these 'Combat-exercises' but they only take out pistol gunners. Yes, the chance is higher that the attacker has a pistol, but full auto SMGs or Rifles are possible too. You can't disarm him like that."
"36","Schools need drills like this. Hell, even have student actors wearing blood packs that they can pop when the blanks go off. Students nowadays just go in the corner and chat and check their phones. The way these drills are run now are far from training, they are just ""Cool, I get some free time during class.""

I'd volunteer to be a blood-pack-wearer or a mock shooter."
"37","this shows that you can never be to prepared so start practicing"
"38","we need drills like this"
"39","""No warning"" if it was real there would be no warning"
"40","Omg Holly Carpenter is my teacher!!!"
"41","UNDENIABLE PROOF THAT SANDY HOOK WAS A HOAX"
"42","Where I live in California, we have open campus schools..."
"43","I would love this"
"44","When they were butt fucking on the floor, the guy could have grabbed her leg and broke it in a matter of 2 seconds if it were real."
"45","guys I you ever come across this in real life, push there eyes in...and blind they ass"
"46","We have school stores, they should put them in their schools so they could hide in there."
"47","sam pepper pranks be like.."
"48","You know a country has a gun problem when you need to have school shooting drills. You cant stop pissed off mentally unstable white male individuals with the intent of self-destructive mass murder with easy access to guns defended by overweight sensitive hypocritical middle class white pill-chugging conservative christian families who still believe in the reefer madness and has BBQs before watching their football game."
"49","Columbine high school is bad there was a lock down where over 100 people were killed"
"50","This won't solve anything. what will help is if every adult working in the school is packing a gun..stop teaching children to play the victim and wait for help every time something happens. They have to learn that they are responsible for the safety of there own lives. We are raising a generation of idiots !! That only know how to do what there told and can't think for there selves."
"51","lol my school shooting drill is shit. all they do is to say we are in the lock down then we hide under the desk. Which I find it very bullshit how our lock down are very unrealistic."
