"","X","his_data_2012.his_all_comments.textOriginal"
"1",1,"If this really WAS gods will... then I dont want ANYTHING to do with God... next crazy comment please! :D"
"2",2,"btw, Mcveigh used 4800 lbs of fertilizer containing ammonia nitrate. They have tried to regulate the sale of this fertilzer for reasons such as this but of course the right wing won't let it happened because regulation is apart of the evil big government.....smh  

"
"3",3,"Huckabee made it seem so easy that if the shooter didn't have a gun, he would have used a bomb. What? Guns were easily accessable to this guy!"
"4",4,"Saying that this is because god isn't in schools is a fucking insult to the families, and a fucking insult to me, as I knew Noah Pozner's family, and used to babysit him for the family. I hope huckabee one day feels the same way I feel, so he knows that politicians and the Media only use stuff like this as a means to make money and spread their message. it's fucking disgusting. You want to respect the dead? Make memorials, don't focus on the shooter.
"
"5",5,"Timothy McVeigh didn't need a firearm to to 168 people, the largest homeland terrorist attack second to 9/11. He used racing fuel and a moving truck. Those are way easier to get than a firearm."
"6",6,"And yes, there is another difference ...

Drumroll ....

* (S)SRI's *  -- not all these other countries are hoped up on brain candy"
"7",7,"That's right @colt ... Because they are all slaves to their systems, and have no means of defense even if they did have Any sort of problem and needed a resort.  Good observation 

What good is a cop - if he's 10 min out ... And I'm bleeding from the chest, because my resort was to die. ... Screw you colt"
"8",8,"You're a fucking idiot, get a clue and see that Huckabee is trying to profit politically in this."
"9",9,"People like Huckabee make me thank god I'm an atheist!"
"10",10,"they could not pay a security guard enough to get shot at could you? why not just post soldiers .....not that they get paid any better but they are at least trained to do the job."
"11",11,"god is in churches. that doesn't stop bad things from happening there. why would a school be any different with him ""there""?
"
"12",12,"What a moron. There are about 20 comparable countries to the USA in terms of economic development, democratic principles, level of educational attainment. America is the one where they make a national pastime of mass shootings. God is not the difference, the number of guns is!"
"13",13,"Mike Huckabee needs 2keep his f*cking trap shut. Those poor parents don't need 2hear it was THEIR fault their kids died, cuz they put them in a wicked public school where they don't bow down 2Jesus every day. Disgusting!"
"14",14,"It's funny that republicans would want people to require their photo ID to vote but refuse to have a background check for people who trying to purchase a gun.My Huckabee has insulted the families of these victims with everything he has said in this video and that is Sad."
"15",15,"Mike is an asshole.
"
"16",16,"I believe that God has nothing to do with what happened.  
"
"17",17,"We found the new world in America. We went there. we destroyed the indiginous population.Then we settled it with the rejects of Europe.Then we destroyed the beautiful land with our stupidity."
"18",18,"This guy at the beginning said "" sensible proposals out of the senate "" lol... Oh man my side is hurting from laughing. "
"19",19,"Before bashing conservative personalities you how about you INTERVIEW them first to see where they are coming from you fucking douche bag "
