"","his_data_2014.his_all_comments.textOriginal"
"1","I love that! Watch till the end its really funny. I wish my school had drills like that"
"2","arm the teachers"
"3","this is so sad and horryfying :( I'm glad my country has strict gun laws"
"4","This is retarded to teach them kids to just stay put and your a okay. Well like columbine the shooters had pipe bombs and the people that died were the ones that didn't get the fuck out"
"5","I see why they are questioning if a teacher could actually take down a shooter.  Some probably couldn't.  But life isn't perfect and easy to deal, especially in a shooting.  I think the trainer was fairly clear they only advocated trying to take down a shooter if : a) the shooter is reloading, and b) all other options were exhausted.  No, it might not work, but I think it's better to have some knowledge of how to attack a shooter than not, if a teacher and their class were cornered in a classroom, sure to die otherwise. "
"6","Well clearly the shooters gonna look under the desk and shoot thats what exactly Eric and Dylan did with shotguns just imagine that "
"7","The lord is the only who can protect the kids not the police half the departments in the US don't even no how to respond to a active shooter.."
"8","This is what happened at sandy hook "
"9","yo fucken florida man "
"10","we have drill similar soon as we go in lockdown we rush to barricade doors we put everything possible up by the door to barricade it then we find the closest object to us then if an intruder we use what we have grabbed against them on top of the barricaded doors"
"11","I think kids should be taught the eastern european or gulag way to deal with the shooter- everybody rushes onto him and together beats the shit out"
"12"," 
""In England, we don't have high school massacres. Because we have strict gun laws...""

Because the fucking culture is different. The worst part England could never compare to just an average bad area in the US. First off even before England put into place strict gun laws the weapons on the streets illegally in the US was higher then the guns in the UK period.  I fucking hate this arguement by the British. Our culture and the people in our countries are so different its not even comparable. Yes there are tough places that I wouldn't just walk freely and not worried at all in the UK but you ever been so some of our Cities like Detroit, Chicago, Inglewood, Oakland etc.

While NYC is the one city that has created a lot of strict gun laws and ""some"" violence has gone down. Did you know even then Thousand carry weapons on them Illegally because its still a Dangerous city to be in if you work or get caught up in the wrong parts. BTW the UK especially England yes your right you dont have school shooting and I applaud you on that but facts show ever since you put that gun ban into place your crime statistics have gone up. Sure not many Gun related issues but overall it has gone up."
"13","Yeah we had a drill and we were in the computer lab all huddled up in the corner of the room and my friend got the best spot under the desk and i was like trying to scoot under the desk and I heard banging and I was scared for my fucking life"
"14","Silly people"
"15","1:52-1:58 is me middle school in methuen MA timony grammar school"
"16","We have these on our school. 
But their Called school lock down
Its when a predictor enters the school and we hide in classrooms in a corner u noticed by the door or windows."
"17","Just like fire drills active shooter drills should be random and unplanned. The more realistic the drills are the better prepared people will be for the real thing."
"18","This is a liberial program at it best.  idiots."
"19","Why don't we give teachers guns. "
"20","This used to be a semester routine where I went to high school"
"21","It's kind of sad  that we have to have school shooting drills honestly "
"22","My school is full of idiots a group of kids thought it was funny to snap and dance in a drill and it takes my school about 8 mins to get hidden so basicly if i am in a real 1 im gonna hide in the closet"
"23","lol white people"
"24","In this video: teachers, drill sergeants, parents and kids trying to impress others and each other. 'I'm on tv!'"
"25","Shooting drills, high fences and secured classrooms, detection systems, armed teachers and security guards. americans :/ At my school it was all about paying attention in class, study, learn and having fun."
"26","Screw that I bring my knife and stab him or just run out"
"27","There could be more guys in that room how would they be able to take all of them down"
"28","I cried when the teacher started to talk about the thought of anyone hurting the kids."
"29","Why don't they install metal doors in each class room so the intruder can't get into the classrooms "
"30","Looking at those kids, it actually brings tears to my eyes that they actually have to go through this or worry about it. Any kids for that matter. To think our generations didn't really have to think about such things. Can't imagine."
"31","Staying in a group is so fucking stupid the shooter just needs a rifle with auto and bam some bullets go threw the kids."
"32","If a shooter came to my school I don't think any art majors would die because we have so many ways to get out with out being spoted."
"33","Wtf is this this is stupid and wierd"
"34","If these school drills can make a difference, and only saves one life, then it's worth it."
"35","Why are they laughing this is serious! Once your put in a situation like that depending on how you tend to react to certain situations you will choose to flee or fight or they will be too scared to even do anything. I don't know maybe they should actually try improving school security for once. Then all this wouldn't be necessary "
"36","Yeah.. Now since the powers that be can't hide the fact that most of these school 'shootings' were actually staged drills. They are now making these drills appear as normal everyday occurences. So if they get caught staging a shooting, they can just say ""Oh it was just a drill"". How convenient."
"37","My school did this when I was in the 8th grade. They literally didn't tell us or the teachers. They tried to send an email that it wasn't real but most of the teachers didn't read it so it was complete craziness."
"38","Poor Americans.... "
"39","All I know is if there's a school shooter on campus I'm not going to hide in a corner waiting to get shot. Walk into my classroom your getting a chair to the face and much more. All this don't be a hero stuff, it's called saving your life. I'm not going out without a fight."
"40","Stupid idea can't reamber what year this happend but there was a school shooter and a student went to his car grabbed his gun and shot down the school shooter now that could have happened to any cop"
"41","This is exactly what Sandy Hook was! A fucking drill that they passed off as a real event! Unfortunately,  now that the lead investigator mysteriously died, we may never get the real truth. The American people need to stand up against this bullshit that is designed to take your rights away! But they won't!  They're too busy caring about Kim Kardashians fat, slutty ass and Justin Biebers relationship status, to even give a shit about what is really going on! U won't get it, until its too late."
"42","I cried watching the teacher fight the shooter while he resisted. So empowering. "
"43","For me, I thought about scho shootings all the time when I was in high school (class of 09) I would look around my classrooms/cafeteria/library and think about ways to escape if someone came I to my school with a weapon. It's horrible that students have to think like this, but it has become nessecary! "
"44","School is supposed to be one of the safest...what happened!  When I was in HS, my buddies and I were concerned about how to approach a female and passing Algebra II-Trig.  This never crossed our minds let alone training for school shooting.  The world has gone and going more insane. "
"45","We all saw the fake drill at Newtown.  These kids should be scared Obama will actually need to produce some bodies in the next hoax.   "
"46","Plus they could easily get through windows. It would be a surprise too. Wouldn't be a drill until 30 kids and a teacher was dead."
