"","real.all_comments.textOriginal"
"1","Bet if he was a muslim they would've called him a terrorist, fucking racist white ppl"
"2","why did you blurry it a little bite"
"3","I guess that parent voted for trump"
"4","TORTURE THE KILLERRR"
"5","bet the shooter gets raped and beat in prison"
"6","I would just relax and start listening to music. Waiting for it to end."
"7","where is this world going to"
"8","3:49 you just see all that blood"
"9","Bet the person  (shooter) was highly trained and recruited by the cia from another country ha stupid americans"
"10","Wtf is The problem to some people?"
"11","Im so sorry for what happened I live in Canada but just seeing this makes me tear up for the people that are suffering I’m sorry I hope you get better"
"12","He deserves a slow death by firing squad"
"13","The kids who bullied the kid like Gonzalez and Hogg are ultimately responsible for this."
"14","This makes me sick to my stomach prayers to my piers and their families 🙏"
"15","The sound of people screaming and crying just kills me, those familys that lost their children must be soo sad, he deserves to die in jail, staying there for the rest of his life, he doesnt deserve to live a normal life, I'm pretty sure they dient do anything to him, killing people wont get you attention, it might cause you to go to jail, or even a really bad punishment"
"16","SCHOOL MASSACRE NO CHILD SHOULD EVER HAVE TO GO THROUGH THIS RIP TO THE INNOCENT VICTIMS I SENT PRAYERS TO THE KIDS AND PARENTS"
"17","Evry time i hear somthing like this my hope in people die a little bit more😢

WHY !!! WHY !!!WHY HE KILL THIS PEOPLE. THEY DO NOTHING SO WRONG,THAT HE NEED TO KILL THEM!!!😭
I will never forget this horrible accident"
"18","So the shooter has the same birth month and year as mine. (September 1998)

Shit."
"19","I feel so bad. This happened on my birthday, Valentine's day is my birthday. I never get a chance to make a birthday wish. If I knew this was going to happen, my birthday wish would be, I wish everyone would stay alive and be ok. I wish nothing bad happen like this...😔😔😭😭😣"
"20","Oh gawd i fell bad for all of them god pray for them"
"21","Shoot him 19 times of how many people he killed in cold blood"
"22","Screw him"
"23","this is so sad I saw died kids"
"24","THEY'RE NOT IMAGES, THEY'RE VIDEOS, THERE'S A BIG FUCKING DIFFERENCE"
"25","Here’s the thing all the schools are taking god out of the System and now horrible stuff like this happens like if you agree"
"26","i hope he gets ass-raped in jail or even better, executed."
