"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"1",1,1,"Erza Scarlet",0,"Evry time i hear somthing like this my hope in people die a little bit more_ÌâåªÌâåÉÌâå¢

WHY !!! WHY !!!WHY HE KILL THIS PEOPLE. THEY DO NOTHING SO WRONG,THAT HE NEED TO KILL THEM!!!_ÌâåªÌâåÉ_
I will never forget this horrible accident","4/22/18"
"2",2,2,"Autumn Dulong",0,"So the shooter has the same birth month and year as mine. (September 1998)

Shit.","4/22/18"
"3",3,3,"Elena Lopez",0,"I feel so bad. This happened on my birthday, Valentine's day is my birthday. I never get a chance to make a birthday wish. If I knew this was going to happen, my birthday wish would be, I wish everyone would stay alive and be ok. I wish nothing bad happen like this..._ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉÌâå£","4/22/18"
"4",4,4,"Delisha Records",0,"Oh gawd i fell bad for all of them god pray for them","4/22/18"
"5",5,5,"*linx#paw*",0,"Shoot him 19 times of how many people he killed in cold blood","4/22/18"
"6",6,6,"ameya oola",0,"18 school shootings in first 2 months of 2018 lol..

america is such a shithole","4/22/18"
"7",7,7,"ameya oola",0,">be american
>get shot","4/22/18"
"8",8,8,"Biancla Schmlakintyre",0,"Screw him","4/22/18"
"9",9,9,"Leslie G",0,"this is so sad I saw died kids","4/22/18"
"10",10,10,"VAMPIREX 2017",1,"THEY'RE NOT IMAGES, THEY'RE VIDEOS, THERE'S A BIG FUCKING DIFFERENCE","4/22/18"
"11",11,11,"Santana Jackson",1,"HereÌâå_ÌâåÑÌÄåös the thing all the schools are taking god out of the System and now horrible stuff like this happens like if you agree","4/22/18"
"12",12,12,"Chloe Simonds",0,"i hope he gets ass-raped in jail or even better, executed.","4/21/18"
"13",13,13,"Gaming With Ada",0,"That nineteen year old should be _ÌâåªÌÄå»ÌâåÑ dead he is sooo dead if I was the officer i am just gonna kill him","4/21/18"
"14",14,14,"Jeff21killer Sep",0,"Why sell military type weapons to the public then you could stop more shootings like this one since they mainly use assault rifles in them","4/21/18"
"15",15,15,"Hedgehog 32 Gammer",0,"IÌâå_ÌâåÑÌÄåöm 12 years old and my school did a shoot out drill with a fake shooter and when he came through the door I straight up talked him.



I found out it was a drill and he has a bloody nose :(","4/21/18"
"16",16,16,"isaiah grant",0,"Who cares","4/21/18"
"17",17,17,"isaiah grant",0,"Dead body at 5:49","4/21/18"
"18",18,18,"abby button",0,"these are so scary_ÌâåªÌâåÉ_","4/21/18"
"19",19,19,"Thomas Viklund",0,"Gun control!!! Dont have guns here in sweden= we dont have a single school shooting. Face it guns are made for one thing. Im sorry for the kids and parents","4/21/18"
"20",20,20,"shamrocksimsie",0,"This all makes me so sad and terrified when will we get change?!","4/21/18"
"21",21,21,"The Never 100%er",0,"Top safest community in America my ass.","4/21/18"
"22",22,22,"Lia Larsen",0,"I pray that all those lost in this horrific accident may rest in peace for they are out of this terrible world...","4/21/18"
"23",23,23,"Angie Martinez",0,"It was very terrible _Ìâåª__","4/21/18"
"24",24,24,"Djamel Draifia",0,",???,?,,????????????","4/21/18"
"25",25,25,"Naemah Mohd Sherif",0,"Omg this is impasible","4/21/18"
"26",26,26,"Magically Minty",0,"Watashi no namae GENKI desu~~~~","4/21/18"
"27",27,27,"The Citizen",0,"17 only????

Americunts need more to learn","4/21/18"
"28",28,28,"Christina Powell",0,"Me and my best friends have no classes together so ebery day im class it goes through my mind!And all i think about is attaking the shooter so no one qould get hurt if if it ment me getting hurt","4/21/18"
"29",29,29,"Victoria Salazar",0,"Bro I'm in elementary school and it's Hella scary","4/21/18"
"30",30,30,"TurkeyWiing Guru",1,"I guess they don't have to dream about drinking liquor because they all took a *shOT* together 
Although some before others","4/21/18"
"31",31,31,"STRONG DYNAMO",0,"Right after he said these images may be disturbing I paused the video so quickly","4/20/18"
