"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"aaaalllllll",1,0,0,0,0,0,0
"abandoned",1,0,0,0,0,0,1
"abc",2,0,2,0,4,13,13
"abdel",1,0,0,0,0,0,0
"abed",1,0,0,0,0,0,0
"abiding",2,4,27,15,12,2,1
"ability",3,1,9,2,2,4,3
"able",11,1,41,42,20,54,57
"abnormal",1,0,0,1,1,0,0
"abolishing",1,0,0,0,0,0,0
"abortion",2,1,0,0,0,0,1
"abortions",1,0,1,0,0,0,0
"about",1,0,9,3,2,1,9
"abrams",1,0,0,0,0,0,2
"abschicken",1,0,0,0,0,0,0
"absolute",2,0,1,4,3,3,2
"absolutely",12,0,15,9,7,14,13
"absolved",1,0,0,0,0,0,0
"abuse",6,0,5,9,3,3,0
"abused",2,0,4,2,0,1,0
"academic",2,0,0,0,1,1,0
"academy",2,0,1,1,1,4,9
"accept",1,0,6,2,4,5,5
"acceptance",1,0,0,0,1,0,0
"access",7,3,21,9,13,10,11
"accessible",1,0,1,4,1,4,0
"accident",2,1,2,2,5,1,8
"accidents",1,0,10,1,6,1,1
"according",3,3,14,4,2,3,2
"accountability",1,0,0,2,0,0,0
"accountable",2,0,3,1,0,0,0
"accounts",2,0,3,1,3,3,0
"accualy",1,0,0,0,0,0,0
"accurate",1,0,2,2,1,3,1
"acknowledging",1,0,4,1,0,0,1
"acosta",1,0,0,0,0,0,0
"acp",1,0,0,0,0,0,2
"acquiring",1,0,2,0,2,0,0
"across",2,1,10,7,5,21,37
"act",7,0,20,14,21,30,22
"acted",3,0,3,2,0,0,5
"acting",5,0,4,1,4,15,9
"action",5,2,5,4,5,12,5
"actions",5,1,14,12,5,3,0
"active",3,1,1,2,13,63,54
"activist",1,0,0,0,1,1,0
"activists",1,0,0,0,0,0,0
"activities",1,0,1,0,0,1,0
"actor",3,0,0,2,0,3,7
"actors",9,0,2,2,5,7,12
"acts",2,1,14,8,4,5,3
